"id","name","slug","created_at","updated_at","parent_id"
1,과일,과일,2025-12-20 16:55:58.093 +0900,2025-12-20 16:55:58.093 +0900,
2,면/가루/베이커리/제빵,면가루베이커리제빵,2025-12-20 16:55:58.858 +0900,2025-12-20 16:55:58.858 +0900,
3,쌀/잡곡,쌀잡곡,2025-12-20 16:55:59.887 +0900,2025-12-20 16:55:59.887 +0900,
4,채소/샐러드/버섯/나물,채소샐러드버섯나물,2025-12-20 16:56:00.301 +0900,2025-12-20 16:56:00.301 +0900,
5,두부/콩/계란,두부콩계란,2025-12-20 16:56:02.251 +0900,2025-12-20 16:56:02.251 +0900,
6,육류,육류,2025-12-20 16:56:02.931 +0900,2025-12-20 16:56:02.931 +0900,
7,양념/조미/소스/오일,양념조미소스오일,2025-12-20 16:56:04.864 +0900,2025-12-20 16:56:04.864 +0900,
8,김치/반찬/절임,김치반찬절임,2025-12-20 16:56:09.579 +0900,2025-12-20 16:56:09.579 +0900,
9,수산물/해산물/건어물,수산물해산물건어물,2025-12-20 16:56:10.925 +0900,2025-12-20 16:56:10.925 +0900,
10,우유/유제품,우유유제품,2025-12-20 16:56:13.378 +0900,2025-12-20 16:56:13.378 +0900,
11,견과/건과/간식,견과건과간식,2025-12-20 16:56:17.217 +0900,2025-12-20 16:56:17.217 +0900,
12,음료,음료,2025-12-20 16:56:25.871 +0900,2025-12-20 16:56:25.871 +0900,
14,라면/간편식품/통조림,라면간편식품통조림,2025-12-20 16:56:31.880 +0900,2025-12-20 16:56:31.880 +0900,
