"product_id","short_description","full_description","meta_title","meta_keywords","full_image_description","full_text_description"
1,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/128928983_0_c5765cb2.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/128928983_1_843438ca.jpg""]",
2,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/124856935_0_c5765cb2.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/124856935_1_da293170.jpg""]",
3,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070368535_0_581b8a85.jpg""]",
4,"사과가 아삭하고 달콤하며 신선합니다. 14브릭스의 높은 당도로 맛이 뛰어나고, 품질과 가격 모두 만족스럽습니다. 많은 고객이 자주 구매하는 인기 제품입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/103272050_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/103272050_1_5940c805.jpg""]",
5,"맛있고 품질이 좋은 엔비사과와 캐슈넛 제품입니다. 용량이 적당하고 깨끗하며, 지속적으로 구매할 만큼 만족도가 높습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070271597_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070271597_1_bab75298.jpg""]",
6,~12/17까지 배송가능,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/068858367_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/068858367_1_0416dabd.jpg""]",
7,"신선하고 맛있는 과일로, 세일 때 저렴하게 구매할 수 있습니다. 과육이 부드럽고 아삭하며, 새콤달콤한 맛이 일품입니다. 껍질도 적당해 먹기 좋습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/010027181_0_53a942f5.jpg""]",
8,"제주 밀감은 크기가 적당하고 새콤달콤한 맛이 일품입니다. 신선하고 과즙이 풍부하며, 껍질이 얇아 먹기 편합니다. 겨울 간식으로 인기가 높고, 비타민C가 풍부해 건강에도 좋습니다. 가격도 저렴해 자주 구매하는 고객들이 많습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/114804955_0_2560e509.jpg""]",
9,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/113688323_0_b7c1ec48.jpg""]",
10,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/104538956_0_1cc8636e.jpg""]",
11,"프리미엄 불로초밀감은 달고 신선하며 맛있습니다. 껍질이 얇고 과육이 부드러워 먹기 좋으며, 특히 신맛이 없어 인기가 높습니다. 품질과 가격 면에서 만족도가 높아 재구매율이 높습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/101580403_0_563c06f8.jpg""]",
12,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/114058391_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/114058391_1_42edadf5.jpg""]",
13,,,,,"",BLOCKQUOTE { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } P { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } v\:* { BEHAVIOR: url(#default#VML) } o\:* { BEHAVIOR: url(#default#VML) }.shape { BEHAVIOR: url(#default#VML) } x\:* { POSITION: relative; VISIBILITY: hidden } TD { WORD-BREAK: break-all } BODY { WORD-BREAK: break-all } UL { } OL { }
14,"레드향의 뛰어난 맛과 품질로 고객 만족도가 높습니다. 특히 아이들도 좋아하며, 가격 대비 만족스러운 상품입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/120030191_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/120030191_1_41d0808e.jpg""]",
15,방울토마토가 신선하고 맛있습니다. 크기가 적당하고 달콤해서 인기가 많습니다. 가격도 저렴하고 양도 넉넉해서 만족도가 높습니다. 샐러드나 요리에 활용하기 좋고 건강에도 좋습니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070486337_0_88ded7c4.jpg""]",
16,"스테비아 대추방울토마토는 달콤하고 신선한 맛으로 인기가 높습니다. 크기와 식감이 좋고, 특히 아이들이 좋아합니다. 또한 건강에도 좋아 자주 구매하는 제품입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069639971_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069639971_1_0ff6603b.jpg""]",
17,"스낵 토마토는 식감이 아삭하고 탱글하며 부드럽습니다. 꼭지가 없어 씻기 편하고, 양도 많아 만족스럽습니다. 특히 쫀득하고 맛있어 인기가 높습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/120079939_0_6d1ceb9f.jpg""]",
18,"방울토마토가 신선하고 맛있습니다. 특히 달콤하고 아삭한 식감이 좋으며, 가격과 양도 적당합니다. 샐러드나 간식으로 자주 구매하는 인기 상품입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070489000_0_88ded7c4.jpg""]",
19,방울토마토는 신선하고 맛있으며 건강에 좋습니다. 특히 탱글하고 과즙이 풍부하여 간식으로 인기가 높습니다. 또한 요리에 활용도가 높고 다이어트에도 도움이 됩니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070489017_0_a98f23b4.jpg""]",
20,스테비아 미니쿠마토는 신선하고 달콤한 맛으로 인기가 높습니다. 특히 식감이 탱글탱글하고 껍질이 단단해 오래 보관할 수 있습니다. 또한 샐러드용으로 좋고 다이어트에도 적합합니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069674899_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069674899_1_6154d267.jpg""]",
21,"토마토가 신선하고 맛있습니다. 크기는 작지만 싱싱하고 달콤해서 고객들이 만족하고 있습니다. 건강에 좋아 자주 구매하는 제품이며, 주스나 요리에도 활용도가 높습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/100542245_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/100542245_1_dcf94890.jpg""]",
22,"토마토가 신선하고 맛있습니다. 크기가 크고 알이 굵으며, 색감이 좋고 과육이 단단합니다. 특히 싱싱하고 아삭한 식감이 좋습니다. 또한 가격이 저렴하고 배송이 빠릅니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/126362577_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/126362577_1_161490bf.jpg""]",
23,토마토가 신선하고 맛있습니다. 특히 찰토마토는 단단하고 덜 신 편이라 인기가 높습니다. 가격도 저렴하고 품질도 좋아 자주 구매하는 제품입니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/122155725_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/122155725_1_707acd05.jpg""]",
24,,,,,"",.
25,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069526851_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069526851_1_ac2d9132.jpg""]",
26,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069353559_0_2b821075.jpg""]",
27,딸기가 싱싱하고 달콤하며 향이 좋습니다. 크기도 크고 과육이 탱글탱글해 맛있습니다. 가격도 저렴해 자주 구매하는 인기 상품입니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070273255_0_e8a4dfa9.jpg""]",
28,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/119814714_0_726a74c4.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/119814714_1_e8a4dfa9.jpg""]",
29,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/112490235_0_f4e1440b.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/112490235_1_53a942f5.jpg""]",
30,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070309111_0_8647bc2f.jpg""]",
31,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/121168118_0_c9e756bf.jpg""]",
32,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070854403_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070854403_1_2ba0bc85.jpg""]",
33,감말랭이가 달콤하고 맛있습니다. 먹기 편하며 품질이 좋은 상품입니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070499984_0_b0db9458.jpg""]",
34,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/000001929_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/000001929_1_43305f6e.jpg""]",
35,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/071289051_0_7f45e06f.jpg""]",
36,신선하고 달콤한 단감이 크기도 적당하며 단단합니다. 맛있고 품질이 좋아 고객 만족도가 높습니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/000001996_0_7f45e06f.jpg""]",
