"product_id","stock_quantity","safe_stock_level","updated_at","is_unlimited"
1,0,10,2025-12-20 16:55:58.115 +0900,true
2,0,10,2025-12-20 16:55:58.123 +0900,true
3,0,10,2025-12-20 16:55:58.128 +0900,true
4,0,10,2025-12-20 16:55:58.133 +0900,true
5,0,10,2025-12-20 16:55:58.143 +0900,true
6,0,10,2025-12-20 16:55:58.154 +0900,true
7,0,10,2025-12-20 16:55:58.160 +0900,true
8,0,10,2025-12-20 16:55:58.168 +0900,true
9,0,10,2025-12-20 16:55:58.175 +0900,true
10,0,10,2025-12-20 16:55:58.181 +0900,true
11,0,10,2025-12-20 16:55:58.187 +0900,true
12,0,10,2025-12-20 16:55:58.193 +0900,true
13,0,10,2025-12-20 16:55:58.199 +0900,true
14,0,10,2025-12-20 16:55:58.206 +0900,true
15,0,10,2025-12-20 16:55:58.213 +0900,true
16,0,10,2025-12-20 16:55:58.219 +0900,true
17,0,10,2025-12-20 16:55:58.226 +0900,true
18,0,10,2025-12-20 16:55:58.232 +0900,true
19,0,10,2025-12-20 16:55:58.239 +0900,true
20,0,10,2025-12-20 16:55:58.246 +0900,true
21,0,10,2025-12-20 16:55:58.252 +0900,true
22,0,10,2025-12-20 16:55:58.259 +0900,true
23,0,10,2025-12-20 16:55:58.266 +0900,true
24,0,10,2025-12-20 16:55:58.273 +0900,true
25,0,10,2025-12-20 16:55:58.280 +0900,true
26,0,10,2025-12-20 16:55:58.286 +0900,true
27,0,10,2025-12-20 16:55:58.292 +0900,true
28,0,10,2025-12-20 16:55:58.297 +0900,true
29,0,10,2025-12-20 16:55:58.303 +0900,true
30,0,10,2025-12-20 16:55:58.309 +0900,true
31,0,10,2025-12-20 16:55:58.314 +0900,true
32,0,10,2025-12-20 16:55:58.320 +0900,true
33,0,10,2025-12-20 16:55:58.325 +0900,true
34,0,10,2025-12-20 16:55:58.330 +0900,true
35,0,10,2025-12-20 16:55:58.336 +0900,true
36,0,10,2025-12-20 16:55:58.341 +0900,true
37,0,10,2025-12-20 16:55:58.347 +0900,true
38,0,10,2025-12-20 16:55:58.352 +0900,true
39,0,10,2025-12-20 16:55:58.357 +0900,true
40,0,10,2025-12-20 16:55:58.363 +0900,true
41,0,10,2025-12-20 16:55:58.368 +0900,true
42,0,10,2025-12-20 16:55:58.373 +0900,true
43,0,10,2025-12-20 16:55:58.380 +0900,true
44,0,10,2025-12-20 16:55:58.385 +0900,true
45,0,10,2025-12-20 16:55:58.390 +0900,true
46,0,10,2025-12-20 16:55:58.396 +0900,true
47,0,10,2025-12-20 16:55:58.402 +0900,true
48,0,10,2025-12-20 16:55:58.408 +0900,true
49,0,10,2025-12-20 16:55:58.414 +0900,true
50,0,10,2025-12-20 16:55:58.421 +0900,true
51,0,10,2025-12-20 16:55:58.426 +0900,true
52,0,10,2025-12-20 16:55:58.431 +0900,true
53,0,10,2025-12-20 16:55:58.437 +0900,true
54,0,10,2025-12-20 16:55:58.443 +0900,true
55,0,10,2025-12-20 16:55:58.448 +0900,true
56,0,10,2025-12-20 16:55:58.453 +0900,true
57,0,10,2025-12-20 16:55:58.459 +0900,true
58,0,10,2025-12-20 16:55:58.466 +0900,true
59,0,10,2025-12-20 16:55:58.472 +0900,true
60,0,10,2025-12-20 16:55:58.478 +0900,true
61,0,10,2025-12-20 16:55:58.483 +0900,true
62,0,10,2025-12-20 16:55:58.489 +0900,true
63,0,10,2025-12-20 16:55:58.494 +0900,true
64,0,10,2025-12-20 16:55:58.500 +0900,true
65,0,10,2025-12-20 16:55:58.505 +0900,true
66,0,10,2025-12-20 16:55:58.510 +0900,true
67,0,10,2025-12-20 16:55:58.516 +0900,true
68,0,10,2025-12-20 16:55:58.521 +0900,true
69,0,10,2025-12-20 16:55:58.527 +0900,true
70,0,10,2025-12-20 16:55:58.534 +0900,true
71,0,10,2025-12-20 16:55:58.539 +0900,true
72,0,10,2025-12-20 16:55:58.544 +0900,true
73,0,10,2025-12-20 16:55:58.550 +0900,true
74,0,10,2025-12-20 16:55:58.555 +0900,true
75,0,10,2025-12-20 16:55:58.561 +0900,true
76,0,10,2025-12-20 16:55:58.566 +0900,true
77,0,10,2025-12-20 16:55:58.573 +0900,true
78,0,10,2025-12-20 16:55:58.578 +0900,true
79,0,10,2025-12-20 16:55:58.584 +0900,true
80,0,10,2025-12-20 16:55:58.590 +0900,true
81,0,10,2025-12-20 16:55:58.595 +0900,true
82,0,10,2025-12-20 16:55:58.601 +0900,true
83,0,10,2025-12-20 16:55:58.605 +0900,true
84,0,10,2025-12-20 16:55:58.611 +0900,true
85,0,10,2025-12-20 16:55:58.616 +0900,true
86,0,10,2025-12-20 16:55:58.621 +0900,true
87,0,10,2025-12-20 16:55:58.626 +0900,true
88,0,10,2025-12-20 16:55:58.631 +0900,true
89,0,10,2025-12-20 16:55:58.636 +0900,true
90,0,10,2025-12-20 16:55:58.642 +0900,true
91,0,10,2025-12-20 16:55:58.647 +0900,true
92,0,10,2025-12-20 16:55:58.652 +0900,true
93,0,10,2025-12-20 16:55:58.657 +0900,true
94,0,10,2025-12-20 16:55:58.663 +0900,true
95,0,10,2025-12-20 16:55:58.669 +0900,true
96,0,10,2025-12-20 16:55:58.675 +0900,true
97,0,10,2025-12-20 16:55:58.680 +0900,true
98,0,10,2025-12-20 16:55:58.686 +0900,true
99,0,10,2025-12-20 16:55:58.692 +0900,true
100,0,10,2025-12-20 16:55:58.698 +0900,true
101,0,10,2025-12-20 16:55:58.704 +0900,true
102,0,10,2025-12-20 16:55:58.710 +0900,true
103,0,10,2025-12-20 16:55:58.715 +0900,true
104,0,10,2025-12-20 16:55:58.721 +0900,true
105,0,10,2025-12-20 16:55:58.727 +0900,true
106,0,10,2025-12-20 16:55:58.732 +0900,true
107,0,10,2025-12-20 16:55:58.737 +0900,true
108,0,10,2025-12-20 16:55:58.742 +0900,true
109,0,10,2025-12-20 16:55:58.747 +0900,true
110,0,10,2025-12-20 16:55:58.752 +0900,true
111,0,10,2025-12-20 16:55:58.757 +0900,true
112,0,10,2025-12-20 16:55:58.762 +0900,true
113,0,10,2025-12-20 16:55:58.767 +0900,true
114,0,10,2025-12-20 16:55:58.772 +0900,true
115,0,10,2025-12-20 16:55:58.777 +0900,true
116,0,10,2025-12-20 16:55:58.783 +0900,true
