"id","price","original_price","recorded_at","source","product_id","is_current","previous_price","price_change","price_change_rate"
8131,34900,49900,2025-12-20 17:05:57.070 +0900,crawl,313,false,49900,-15000,-30.06
5,13990,,2025-12-20 16:55:58.145 +0900,import,5,true,,,
6,7990,,2025-12-20 16:55:58.154 +0900,import,6,true,,,
16,5990,,2025-12-20 16:55:58.220 +0900,import,16,true,,,
18,5990,,2025-12-20 16:55:58.233 +0900,import,18,true,,,
19,5990,,2025-12-20 16:55:58.240 +0900,import,19,true,,,
20,6990,,2025-12-20 16:55:58.247 +0900,import,20,true,,,
23,8990,,2025-12-20 16:55:58.267 +0900,import,23,true,,,
24,9990,,2025-12-20 16:55:58.274 +0900,import,24,true,,,
25,7990,,2025-12-20 16:55:58.281 +0900,import,25,true,,,
36,5990,,2025-12-20 16:55:58.342 +0900,import,36,true,,,
38,9990,,2025-12-20 16:55:58.353 +0900,import,38,true,,,
39,9990,,2025-12-20 16:55:58.358 +0900,import,39,true,,,
42,6990,,2025-12-20 16:55:58.374 +0900,import,42,true,,,
51,2490,,2025-12-20 16:55:58.427 +0900,import,51,true,,,
54,9990,,2025-12-20 16:55:58.443 +0900,import,54,true,,,
57,1490,,2025-12-20 16:55:58.460 +0900,import,57,true,,,
58,4990,,2025-12-20 16:55:58.466 +0900,import,58,true,,,
63,3990,,2025-12-20 16:55:58.495 +0900,import,63,true,,,
66,1290,,2025-12-20 16:55:58.511 +0900,import,66,true,,,
69,6990,,2025-12-20 16:55:58.528 +0900,import,69,true,,,
74,9990,,2025-12-20 16:55:58.556 +0900,import,74,true,,,
75,3990,,2025-12-20 16:55:58.562 +0900,import,75,true,,,
76,6990,,2025-12-20 16:55:58.567 +0900,import,76,true,,,
78,4990,,2025-12-20 16:55:58.578 +0900,import,78,true,,,
80,4990,,2025-12-20 16:55:58.591 +0900,import,80,true,,,
81,4990,,2025-12-20 16:55:58.596 +0900,import,81,true,,,
82,2990,,2025-12-20 16:55:58.601 +0900,import,82,true,,,
83,2990,,2025-12-20 16:55:58.606 +0900,import,83,true,,,
85,8990,,2025-12-20 16:55:58.616 +0900,import,85,true,,,
86,2990,,2025-12-20 16:55:58.622 +0900,import,86,true,,,
87,4990,,2025-12-20 16:55:58.627 +0900,import,87,true,,,
88,2990,,2025-12-20 16:55:58.632 +0900,import,88,true,,,
89,8990,,2025-12-20 16:55:58.637 +0900,import,89,true,,,
91,2990,,2025-12-20 16:55:58.647 +0900,import,91,true,,,
92,8990,,2025-12-20 16:55:58.652 +0900,import,92,true,,,
93,8990,,2025-12-20 16:55:58.658 +0900,import,93,true,,,
95,4990,,2025-12-20 16:55:58.670 +0900,import,95,true,,,
96,9990,,2025-12-20 16:55:58.675 +0900,import,96,true,,,
97,8990,,2025-12-20 16:55:58.681 +0900,import,97,true,,,
2,11990,14990,2025-12-20 16:55:58.124 +0900,import,2,false,,,
3,9990,12990,2025-12-20 16:55:58.129 +0900,import,3,false,,,
7,9990,12990,2025-12-20 16:55:58.160 +0900,import,7,false,,,
8,9990,14990,2025-12-20 16:55:58.168 +0900,import,8,false,,,
9,12990,18990,2025-12-20 16:55:58.175 +0900,import,9,false,,,
11,9990,12990,2025-12-20 16:55:58.188 +0900,import,11,false,,,
12,8990,14990,2025-12-20 16:55:58.193 +0900,import,12,false,,,
13,14990,17990,2025-12-20 16:55:58.200 +0900,import,13,false,,,
14,16900,19900,2025-12-20 16:55:58.206 +0900,import,14,false,,,
15,7990,12990,2025-12-20 16:55:58.213 +0900,import,15,false,,,
17,8990,11990,2025-12-20 16:55:58.226 +0900,import,17,false,,,
22,9990,14990,2025-12-20 16:55:58.260 +0900,import,22,false,,,
27,9990,14990,2025-12-20 16:55:58.292 +0900,import,27,false,,,
28,13990,19990,2025-12-20 16:55:58.298 +0900,import,28,false,,,
29,13990,19990,2025-12-20 16:55:58.304 +0900,import,29,false,,,
30,15990,21990,2025-12-20 16:55:58.309 +0900,import,30,false,,,
31,9990,14990,2025-12-20 16:55:58.315 +0900,import,31,false,,,
32,12990,17990,2025-12-20 16:55:58.320 +0900,import,32,false,,,
34,6490,9990,2025-12-20 16:55:58.331 +0900,import,34,false,,,
33,6990,9990,2025-12-20 16:55:58.325 +0900,import,33,false,,,
35,7990,10990,2025-12-20 16:55:58.336 +0900,import,35,false,,,
37,9990,19990,2025-12-20 16:55:58.348 +0900,import,37,false,,,
40,6990,9990,2025-12-20 16:55:58.363 +0900,import,40,false,,,
41,9990,12990,2025-12-20 16:55:58.368 +0900,import,41,false,,,
43,12990,15990,2025-12-20 16:55:58.380 +0900,import,43,false,,,
45,5990,7990,2025-12-20 16:55:58.391 +0900,import,45,false,,,
46,13990,18990,2025-12-20 16:55:58.397 +0900,import,46,false,,,
48,7990,9990,2025-12-20 16:55:58.409 +0900,import,48,false,,,
49,7990,9990,2025-12-20 16:55:58.415 +0900,import,49,false,,,
50,4990,5990,2025-12-20 16:55:58.421 +0900,import,50,false,,,
52,4990,5990,2025-12-20 16:55:58.432 +0900,import,52,false,,,
53,3990,5990,2025-12-20 16:55:58.437 +0900,import,53,false,,,
55,7990,9990,2025-12-20 16:55:58.448 +0900,import,55,false,,,
56,8990,9990,2025-12-20 16:55:58.454 +0900,import,56,false,,,
59,12990,14990,2025-12-20 16:55:58.473 +0900,import,59,false,,,
60,7990,12990,2025-12-20 16:55:58.478 +0900,import,60,false,,,
62,9990,11990,2025-12-20 16:55:58.489 +0900,import,62,false,,,
61,9990,12990,2025-12-20 16:55:58.484 +0900,import,61,false,,,
64,9990,14990,2025-12-20 16:55:58.500 +0900,import,64,false,,,
65,12990,14990,2025-12-20 16:55:58.506 +0900,import,65,false,,,
68,9990,14990,2025-12-20 16:55:58.522 +0900,import,68,false,,,
67,15990,17990,2025-12-20 16:55:58.516 +0900,import,67,false,,,
70,8990,9990,2025-12-20 16:55:58.534 +0900,import,70,false,,,
71,12990,14990,2025-12-20 16:55:58.539 +0900,import,71,false,,,
72,2990,3990,2025-12-20 16:55:58.545 +0900,import,72,false,,,
77,6990,7990,2025-12-20 16:55:58.573 +0900,import,77,false,,,
84,11990,12990,2025-12-20 16:55:58.611 +0900,import,84,false,,,
79,7990,8990,2025-12-20 16:55:58.585 +0900,import,79,false,,,
90,5990,7990,2025-12-20 16:55:58.642 +0900,import,90,false,,,
94,10900,13900,2025-12-20 16:55:58.664 +0900,import,94,false,,,
98,6990,,2025-12-20 16:55:58.686 +0900,import,98,true,,,
99,6990,,2025-12-20 16:55:58.692 +0900,import,99,true,,,
103,9990,,2025-12-20 16:55:58.715 +0900,import,103,true,,,
104,5990,,2025-12-20 16:55:58.721 +0900,import,104,true,,,
105,5990,,2025-12-20 16:55:58.728 +0900,import,105,true,,,
106,5290,,2025-12-20 16:55:58.733 +0900,import,106,true,,,
108,8990,,2025-12-20 16:55:58.743 +0900,import,108,true,,,
110,7990,,2025-12-20 16:55:58.753 +0900,import,110,true,,,
111,8990,,2025-12-20 16:55:58.758 +0900,import,111,true,,,
112,7990,,2025-12-20 16:55:58.763 +0900,import,112,true,,,
113,9990,,2025-12-20 16:55:58.768 +0900,import,113,true,,,
115,9990,,2025-12-20 16:55:58.778 +0900,import,115,true,,,
116,9990,,2025-12-20 16:55:58.783 +0900,import,116,true,,,
117,9990,,2025-12-20 16:55:58.788 +0900,import,117,true,,,
119,9990,,2025-12-20 16:55:58.800 +0900,import,119,true,,,
121,9990,,2025-12-20 16:55:58.810 +0900,import,121,true,,,
122,9990,,2025-12-20 16:55:58.816 +0900,import,122,true,,,
123,3990,,2025-12-20 16:55:58.821 +0900,import,123,true,,,
125,9990,,2025-12-20 16:55:58.831 +0900,import,125,true,,,
128,9990,,2025-12-20 16:55:58.847 +0900,import,128,true,,,
129,5990,,2025-12-20 16:55:58.852 +0900,import,129,true,,,
130,8990,,2025-12-20 16:55:58.856 +0900,import,130,true,,,
131,4200,,2025-12-20 16:55:58.863 +0900,import,131,true,,,
132,4500,,2025-12-20 16:55:58.872 +0900,import,132,true,,,
134,4800,,2025-12-20 16:55:58.887 +0900,import,134,true,,,
135,4200,,2025-12-20 16:55:58.893 +0900,import,135,true,,,
136,4490,,2025-12-20 16:55:58.901 +0900,import,136,true,,,
137,4490,,2025-12-20 16:55:58.911 +0900,import,137,true,,,
138,9490,,2025-12-20 16:55:58.917 +0900,import,138,true,,,
139,2900,,2025-12-20 16:55:58.922 +0900,import,139,true,,,
140,2700,,2025-12-20 16:55:58.928 +0900,import,140,true,,,
141,2900,,2025-12-20 16:55:58.933 +0900,import,141,true,,,
142,2900,,2025-12-20 16:55:58.939 +0900,import,142,true,,,
143,4200,,2025-12-20 16:55:58.945 +0900,import,143,true,,,
144,4800,,2025-12-20 16:55:58.951 +0900,import,144,true,,,
145,4200,,2025-12-20 16:55:58.957 +0900,import,145,true,,,
146,5200,,2025-12-20 16:55:58.963 +0900,import,146,true,,,
147,5200,,2025-12-20 16:55:58.969 +0900,import,147,true,,,
148,4800,,2025-12-20 16:55:58.975 +0900,import,148,true,,,
149,7500,,2025-12-20 16:55:58.981 +0900,import,149,true,,,
150,2800,,2025-12-20 16:55:58.986 +0900,import,150,true,,,
151,24900,,2025-12-20 16:55:58.992 +0900,import,151,true,,,
152,7500,,2025-12-20 16:55:58.997 +0900,import,152,true,,,
153,9900,,2025-12-20 16:55:59.003 +0900,import,153,true,,,
154,7900,,2025-12-20 16:55:59.009 +0900,import,154,true,,,
155,8500,,2025-12-20 16:55:59.014 +0900,import,155,true,,,
156,7500,,2025-12-20 16:55:59.020 +0900,import,156,true,,,
157,7900,,2025-12-20 16:55:59.026 +0900,import,157,true,,,
158,26900,,2025-12-20 16:55:59.032 +0900,import,158,true,,,
159,26900,,2025-12-20 16:55:59.038 +0900,import,159,true,,,
160,26900,,2025-12-20 16:55:59.043 +0900,import,160,true,,,
161,2500,,2025-12-20 16:55:59.049 +0900,import,161,true,,,
162,9990,,2025-12-20 16:55:59.055 +0900,import,162,true,,,
163,7990,,2025-12-20 16:55:59.060 +0900,import,163,true,,,
164,4800,,2025-12-20 16:55:59.066 +0900,import,164,true,,,
166,43900,,2025-12-20 16:55:59.078 +0900,import,166,true,,,
167,9900,,2025-12-20 16:55:59.084 +0900,import,167,true,,,
