"id","source_site","source_url","crawled_at","name","slug","price","original_price","status","product_type","unit","unit_quantity","shipping_required","shipping_fee","free_shipping_threshold","estimated_delivery_days","created_at","updated_at","category_id","seller_id","parsed_ingredients"
6892,homeplus,https://mfront.homeplus.co.kr/item?itemNo=123702083&storeType=HYPER&storeId=37,2025-12-20 16:56:40.879 +0900,유동 뚝배기 번데기탕 구수한맛 280G,유동-뚝배기-번데기탕-구수한맛-280g,3190,,active,main,,1.00,true,0,,,2025-12-20 16:56:40.880 +0900,2025-12-20 16:56:40.880 +0900,14,1,"{""brand"": ""유동"", ""grade"": null, ""state"": null, ""weight"": ""280G"", ""confidence"": 0.9, ""weight_unit"": ""G"", ""extracted_at"": ""2025-12-24T18:14:59.634130Z"", ""is_processed"": true, ""weight_value"": 280.0, ""main_ingredient"": ""번데기"", ""sub_ingredients"": [], ""normalized_ingredient"": ""번데기""}"
6890,homeplus,https://mfront.homeplus.co.kr/item?itemNo=068967641&storeType=HYPER&storeId=37,2025-12-20 16:56:40.865 +0900,동원 자연산골뱅이 140G,동원-자연산골뱅이-140g,6490,,active,main,,1.00,true,0,,,2025-12-20 16:56:40.866 +0900,2025-12-20 16:56:40.866 +0900,14,1,"{""brand"": ""동원"", ""grade"": null, ""state"": null, ""weight"": ""140G"", ""confidence"": 0.9, ""weight_unit"": ""G"", ""extracted_at"": ""2025-12-24T18:15:05.643205Z"", ""is_processed"": false, ""weight_value"": 140.0, ""main_ingredient"": ""골뱅이"", ""sub_ingredients"": [], ""normalized_ingredient"": ""골뱅이""}"
6888,homeplus,https://mfront.homeplus.co.kr/item?itemNo=070693685&storeType=HYPER&storeId=37,2025-12-20 16:56:40.852 +0900,동원 을지로골뱅이&구운아귀채 300G,동원-을지로골뱅이구운아귀채-300g,9990,,active,main,,1.00,true,0,,,2025-12-20 16:56:40.853 +0900,2025-12-20 16:56:40.853 +0900,14,1,"{""brand"": ""동원"", ""grade"": null, ""state"": null, ""weight"": ""300G"", ""confidence"": 0.9, ""weight_unit"": ""g"", ""extracted_at"": ""2025-12-24T18:15:11.045061Z"", ""is_processed"": true, ""weight_value"": 300.0, ""main_ingredient"": ""골뱅이"", ""sub_ingredients"": [""구운아귀채""], ""normalized_ingredient"": ""골뱅이""}"
6884,homeplus,https://mfront.homeplus.co.kr/item?itemNo=147606552&storeType=HYPER&storeId=37,2025-12-20 16:56:40.825 +0900,동원 을지로 골뱅이 무침용 300G,동원-을지로-골뱅이-무침용-300g,9990,,active,main,,1.00,true,0,,,2025-12-20 16:56:40.826 +0900,2025-12-20 16:56:40.826 +0900,14,1,"{""brand"": ""동원"", ""grade"": null, ""state"": null, ""weight"": ""300G"", ""confidence"": 0.9, ""weight_unit"": ""g"", ""extracted_at"": ""2025-12-24T18:15:21.315506Z"", ""is_processed"": true, ""weight_value"": 300.0, ""main_ingredient"": ""골뱅이"", ""sub_ingredients"": [], ""normalized_ingredient"": ""골뱅이""}"
6878,homeplus,https://mfront.homeplus.co.kr/item?itemNo=000049379&storeType=HYPER&storeId=37,2025-12-20 16:56:40.786 +0900,동원 자연산 골뱅이 400G,동원-자연산-골뱅이-400g,13290,,active,main,,1.00,true,0,,,2025-12-20 16:56:40.787 +0900,2025-12-20 16:56:40.787 +0900,14,1,"{""brand"": ""동원"", ""grade"": null, ""state"": null, ""weight"": ""400G"", ""confidence"": 0.9, ""weight_unit"": ""G"", ""extracted_at"": ""2025-12-24T18:15:36.427365Z"", ""is_processed"": false, ""weight_value"": 400.0, ""main_ingredient"": ""골뱅이"", ""sub_ingredients"": [], ""normalized_ingredient"": ""골뱅이""}"
6874,homeplus,https://mfront.homeplus.co.kr/item?itemNo=071240195&storeType=HYPER&storeId=37,2025-12-20 16:56:40.759 +0900,요쉬 후리가께 야채맛 35G,요쉬-후리가께-야채맛-35g,1500,,active,main,,1.00,true,0,,,2025-12-20 16:56:40.760 +0900,2025-12-20 16:56:40.760 +0900,14,1,"{""brand"": ""요쉬"", ""grade"": null, ""state"": null, ""weight"": ""35G"", ""confidence"": 0.9, ""weight_unit"": ""G"", ""extracted_at"": ""2025-12-24T18:15:46.885897Z"", ""is_processed"": true, ""weight_value"": 35.0, ""main_ingredient"": ""야채"", ""sub_ingredients"": [], ""normalized_ingredient"": ""야채""}"
6,homeplus,https://mfront.homeplus.co.kr/item?itemNo=068858367&storeType=HYPER&storeId=37,2025-12-20 16:55:58.148 +0900,"12Brix 한입사과 1.2KG(봉)","12brix-한입사과-12kg봉",7990,,active,main,,1.00,true,0,,,2025-12-20 16:55:58.150 +0900,2025-12-20 16:55:58.150 +0900,1,1,"{""brand"": ""12Brix"", ""grade"": null, ""state"": null, ""weight"": ""1.2KG(봉)"", ""confidence"": 0.9, ""weight_unit"": ""kg"", ""extracted_at"": ""2025-12-24T19:53:03.110223Z"", ""is_processed"": false, ""weight_value"": 1.2, ""main_ingredient"": ""사과"", ""sub_ingredients"": [], ""normalized_ingredient"": ""사과""}"
18,homeplus,https://mfront.homeplus.co.kr/item?itemNo=070489000&storeType=HYPER&storeId=37,2025-12-20 16:55:58.228 +0900,대추방울토마토 500G(팩),대추방울토마토-500g팩,5990,,active,main,,1.00,true,0,,,2025-12-20 16:55:58.229 +0900,2025-12-20 16:55:58.229 +0900,1,1,"{""brand"": null, ""grade"": null, ""state"": null, ""weight"": ""500G(팩)"", ""confidence"": 0.9, ""weight_unit"": ""g"", ""extracted_at"": ""2025-12-24T19:53:40.516929Z"", ""is_processed"": false, ""weight_value"": 500.0, ""main_ingredient"": ""방울토마토"", ""sub_ingredients"": [], ""normalized_ingredient"": ""방울토마토""}"
20,homeplus,https://mfront.homeplus.co.kr/item?itemNo=069674899&storeType=HYPER&storeId=37,2025-12-20 16:55:58.242 +0900,스테비아 미니쿠마토 500G(팩),스테비아-미니쿠마토-500g팩,6990,,active,main,,1.00,true,0,,,2025-12-20 16:55:58.243 +0900,2025-12-20 16:55:58.243 +0900,1,1,"{""brand"": null, ""grade"": null, ""state"": null, ""weight"": ""500G"", ""confidence"": 0.9, ""weight_unit"": ""g"", ""extracted_at"": ""2025-12-24T19:53:47.291238Z"", ""is_processed"": false, ""weight_value"": 500.0, ""main_ingredient"": ""미니쿠마토"", ""sub_ingredients"": [], ""normalized_ingredient"": ""미니쿠마토""}"
24,homeplus,https://mfront.homeplus.co.kr/item?itemNo=070449486&storeType=HYPER&storeId=37,2025-12-20 16:55:58.269 +0900,스테비아 완숙토마토 1KG(팩),스테비아-완숙토마토-1kg팩,9990,,active,main,,1.00,true,0,,,2025-12-20 16:55:58.270 +0900,2025-12-20 16:55:58.270 +0900,1,1,"{""brand"": ""스테비아"", ""grade"": null, ""state"": null, ""weight"": ""1KG(팩)"", ""confidence"": 0.9, ""weight_unit"": ""kg"", ""extracted_at"": ""2025-12-24T19:53:58.091777Z"", ""is_processed"": false, ""weight_value"": 1.0, ""main_ingredient"": ""토마토"", ""sub_ingredients"": [], ""normalized_ingredient"": ""토마토""}"
